timestamp_ns	dev_addr	fcnt	gw_id	src_ip
1774860970741163298	3003182825	7	4	10.0.1.4
1774860970742016093	3606737687	7	4	10.0.1.4
1774860970742475206	2107002899	7	4	10.0.1.4
1774860970742937329	3959232199	7	4	10.0.1.4
1774860970744225868	2083919442	7	4	10.0.1.4
1774860970745051604	2229640354	7	4	10.0.1.4
1774860970745488052	232792703	7	4	10.0.1.4
1774860970746621770	3836325298	7	4	10.0.1.4
1774860970785786851	414743068	7	3	10.0.1.3
1774860970789629712	2206755353	7	3	10.0.1.3
1774860970790523738	477672769	7	1	10.0.1.1
1774860970791917826	2576063033	7	1	10.0.1.1
1774860970792560430	3394290607	7	3	10.0.1.3
1774860970796494642	2067026700	7	3	10.0.1.3
1774860970797986053	570084675	7	3	10.0.1.3
1774860970799037848	1707991444	7	1	10.0.1.1
1774860970801798906	2296563577	7	1	10.0.1.1
1774860970802304956	1377571547	7	1	10.0.1.1
1774860970804238025	4030909294	7	1	10.0.1.1
1774860970806397398	3428610663	7	1	10.0.1.1
1774860970815199683	2898369394	8	5	10.0.1.5
1774860970816019301	655392398	8	5	10.0.1.5
1774860970816733238	4018635622	8	5	10.0.1.5
1774860970817471753	488757598	8	5	10.0.1.5
1774860970818186268	2626208332	8	5	10.0.1.5
1774860970818855332	2745779158	8	5	10.0.1.5
1774860970819501645	1856183813	8	5	10.0.1.5
1774860970820181390	2076378537	8	5	10.0.1.5
1774860970820843754	3808189964	8	5	10.0.1.5
1774860970821596764	2901564217	8	5	10.0.1.5
1774860970822115821	1151514516	8	5	10.0.1.5
1774860970822556566	247694516	8	5	10.0.1.5
1774860970822931901	383471470	8	5	10.0.1.5
1774860970823573069	4259642430	8	5	10.0.1.5
1774860970824243602	933218567	8	5	10.0.1.5
1774860970824894011	2889841059	8	5	10.0.1.5
1774860970825509638	1564538605	8	5	10.0.1.5
1774860970855515581	1753606377	8	2	10.0.1.2
1774860970856739582	4119844090	8	2	10.0.1.2
1774860970858267333	3909572108	8	2	10.0.1.2
1774860970858988213	704937175	8	2	10.0.1.2
1774860970859928379	599416365	8	2	10.0.1.2
